condition,eps,sample_id,iterations,execution_time,filename
uncongested,0.01,75,93,12.889004468917847,data/EMA/uncongested/sample_0075.pkl
uncongested,0.01,76,101,18.68859338760376,data/EMA/uncongested/sample_0076.pkl
uncongested,0.01,77,103,11.38499402999878,data/EMA/uncongested/sample_0077.pkl
uncongested,0.01,78,87,14.567376852035522,data/EMA/uncongested/sample_0078.pkl
uncongested,0.01,79,85,15.08583950996399,data/EMA/uncongested/sample_0079.pkl
uncongested,0.01,80,110,17.102710247039795,data/EMA/uncongested/sample_0080.pkl
uncongested,0.01,81,85,16.32842779159546,data/EMA/uncongested/sample_0081.pkl
uncongested,0.01,82,126,22.34884285926819,data/EMA/uncongested/sample_0082.pkl
uncongested,0.01,83,90,16.715018272399902,data/EMA/uncongested/sample_0083.pkl
uncongested,0.01,84,80,14.47231149673462,data/EMA/uncongested/sample_0084.pkl
uncongested,0.01,85,93,12.726162433624268,data/EMA/uncongested/sample_0085.pkl
uncongested,0.01,86,98,14.550660133361816,data/EMA/uncongested/sample_0086.pkl
uncongested,0.01,87,92,15.960700273513794,data/EMA/uncongested/sample_0087.pkl
uncongested,0.01,88,110,19.928691387176514,data/EMA/uncongested/sample_0088.pkl
uncongested,0.01,89,84,11.981364250183105,data/EMA/uncongested/sample_0089.pkl
uncongested,0.01,90,68,10.168104648590088,data/EMA/uncongested/sample_0090.pkl
uncongested,0.01,91,104,17.418923139572144,data/EMA/uncongested/sample_0091.pkl
uncongested,0.01,92,85,13.30257534980774,data/EMA/uncongested/sample_0092.pkl
uncongested,0.01,93,96,17.75729751586914,data/EMA/uncongested/sample_0093.pkl
uncongested,0.01,94,81,15.227941513061523,data/EMA/uncongested/sample_0094.pkl
uncongested,0.01,95,103,15.334426164627075,data/EMA/uncongested/sample_0095.pkl
uncongested,0.01,96,121,22.226820707321167,data/EMA/uncongested/sample_0096.pkl
uncongested,0.01,97,110,15.699272632598877,data/EMA/uncongested/sample_0097.pkl
uncongested,0.01,98,62,8.388899326324463,data/EMA/uncongested/sample_0098.pkl
uncongested,0.01,99,87,16.320072889328003,data/EMA/uncongested/sample_0099.pkl
uncongested,0.01,100,98,16.497455596923828,data/EMA/uncongested/sample_0100.pkl
uncongested,0.01,101,92,15.536402463912964,data/EMA/uncongested/sample_0101.pkl
uncongested,0.01,102,111,18.846083164215088,data/EMA/uncongested/sample_0102.pkl
uncongested,0.01,103,103,19.15255355834961,data/EMA/uncongested/sample_0103.pkl
uncongested,0.01,104,115,17.941498517990112,data/EMA/uncongested/sample_0104.pkl
uncongested,0.01,105,122,17.42914891242981,data/EMA/uncongested/sample_0105.pkl
uncongested,0.01,106,115,19.568545818328857,data/EMA/uncongested/sample_0106.pkl
uncongested,0.01,107,106,16.788395404815674,data/EMA/uncongested/sample_0107.pkl
uncongested,0.01,108,109,20.400516986846924,data/EMA/uncongested/sample_0108.pkl
uncongested,0.01,109,78,14.739120960235596,data/EMA/uncongested/sample_0109.pkl
uncongested,0.01,110,112,20.63213539123535,data/EMA/uncongested/sample_0110.pkl
uncongested,0.01,111,99,16.34339165687561,data/EMA/uncongested/sample_0111.pkl
uncongested,0.01,112,109,17.280323266983032,data/EMA/uncongested/sample_0112.pkl
uncongested,0.01,113,100,18.761935710906982,data/EMA/uncongested/sample_0113.pkl
uncongested,0.01,114,92,17.120848894119263,data/EMA/uncongested/sample_0114.pkl
uncongested,0.01,115,114,18.087936639785767,data/EMA/uncongested/sample_0115.pkl
uncongested,0.01,116,102,14.934646129608154,data/EMA/uncongested/sample_0116.pkl
uncongested,0.01,117,85,10.344909906387329,data/EMA/uncongested/sample_0117.pkl
uncongested,0.01,118,93,17.3393292427063,data/EMA/uncongested/sample_0118.pkl
uncongested,0.01,119,108,19.954508543014526,data/EMA/uncongested/sample_0119.pkl
uncongested,0.01,120,120,22.06373906135559,data/EMA/uncongested/sample_0120.pkl
uncongested,0.01,121,77,14.823517084121704,data/EMA/uncongested/sample_0121.pkl
uncongested,0.01,122,102,18.819880485534668,data/EMA/uncongested/sample_0122.pkl
uncongested,0.01,123,82,9.64917802810669,data/EMA/uncongested/sample_0123.pkl
uncongested,0.01,124,91,13.458277940750122,data/EMA/uncongested/sample_0124.pkl
uncongested,0.01,125,74,13.863784313201904,data/EMA/uncongested/sample_0125.pkl
uncongested,0.01,126,108,20.429145574569702,data/EMA/uncongested/sample_0126.pkl
uncongested,0.01,127,99,12.39539623260498,data/EMA/uncongested/sample_0127.pkl
uncongested,0.01,128,123,15.870744228363037,data/EMA/uncongested/sample_0128.pkl
uncongested,0.01,129,121,21.053640604019165,data/EMA/uncongested/sample_0129.pkl
uncongested,0.01,130,93,17.554927825927734,data/EMA/uncongested/sample_0130.pkl
uncongested,0.01,131,102,19.00236749649048,data/EMA/uncongested/sample_0131.pkl
uncongested,0.01,132,116,17.39949679374695,data/EMA/uncongested/sample_0132.pkl
uncongested,0.01,133,105,15.321266889572144,data/EMA/uncongested/sample_0133.pkl
uncongested,0.01,134,106,19.662160873413086,data/EMA/uncongested/sample_0134.pkl
uncongested,0.01,135,95,16.29222536087036,data/EMA/uncongested/sample_0135.pkl
uncongested,0.01,136,87,12.092544555664062,data/EMA/uncongested/sample_0136.pkl
uncongested,0.01,137,104,19.218511819839478,data/EMA/uncongested/sample_0137.pkl
uncongested,0.01,138,96,16.90651822090149,data/EMA/uncongested/sample_0138.pkl
uncongested,0.01,139,96,12.336597204208374,data/EMA/uncongested/sample_0139.pkl
uncongested,0.01,140,96,17.84100317955017,data/EMA/uncongested/sample_0140.pkl
uncongested,0.01,141,117,14.971227884292603,data/EMA/uncongested/sample_0141.pkl
uncongested,0.01,142,100,13.408429622650146,data/EMA/uncongested/sample_0142.pkl
uncongested,0.01,143,96,17.957862615585327,data/EMA/uncongested/sample_0143.pkl
uncongested,0.01,144,95,17.823073148727417,data/EMA/uncongested/sample_0144.pkl
uncongested,0.01,145,104,19.533780336380005,data/EMA/uncongested/sample_0145.pkl
uncongested,0.01,146,98,16.661129474639893,data/EMA/uncongested/sample_0146.pkl
uncongested,0.01,147,109,18.694913387298584,data/EMA/uncongested/sample_0147.pkl
uncongested,0.01,148,88,11.067914724349976,data/EMA/uncongested/sample_0148.pkl
uncongested,0.01,149,100,17.798927307128906,data/EMA/uncongested/sample_0149.pkl
uncongested,0.01,150,100,16.844133853912354,data/EMA/uncongested/sample_0150.pkl
uncongested,0.01,151,100,14.53252100944519,data/EMA/uncongested/sample_0151.pkl
uncongested,0.01,152,106,19.767375707626343,data/EMA/uncongested/sample_0152.pkl
uncongested,0.01,153,83,13.406418323516846,data/EMA/uncongested/sample_0153.pkl
uncongested,0.01,154,92,13.668920040130615,data/EMA/uncongested/sample_0154.pkl
uncongested,0.01,155,102,19.101536989212036,data/EMA/uncongested/sample_0155.pkl
uncongested,0.01,156,84,15.743192434310913,data/EMA/uncongested/sample_0156.pkl
uncongested,0.01,157,104,15.299201965332031,data/EMA/uncongested/sample_0157.pkl
uncongested,0.01,158,107,16.993372201919556,data/EMA/uncongested/sample_0158.pkl
uncongested,0.01,159,86,14.893545150756836,data/EMA/uncongested/sample_0159.pkl
uncongested,0.01,160,102,11.125622510910034,data/EMA/uncongested/sample_0160.pkl
uncongested,0.01,161,104,19.414820909500122,data/EMA/uncongested/sample_0161.pkl
uncongested,0.01,162,108,20.062296867370605,data/EMA/uncongested/sample_0162.pkl
uncongested,0.01,163,108,17.607638597488403,data/EMA/uncongested/sample_0163.pkl
uncongested,0.01,164,97,12.834248542785645,data/EMA/uncongested/sample_0164.pkl
uncongested,0.01,165,88,16.55306077003479,data/EMA/uncongested/sample_0165.pkl
uncongested,0.01,166,90,16.836543083190918,data/EMA/uncongested/sample_0166.pkl
uncongested,0.01,167,110,17.534791231155396,data/EMA/uncongested/sample_0167.pkl
uncongested,0.01,168,80,13.952446699142456,data/EMA/uncongested/sample_0168.pkl
uncongested,0.01,169,103,17.737980365753174,data/EMA/uncongested/sample_0169.pkl
uncongested,0.01,170,103,14.369387865066528,data/EMA/uncongested/sample_0170.pkl
uncongested,0.01,171,86,9.669888973236084,data/EMA/uncongested/sample_0171.pkl
uncongested,0.01,172,123,18.606333017349243,data/EMA/uncongested/sample_0172.pkl
uncongested,0.01,173,113,20.916869163513184,data/EMA/uncongested/sample_0173.pkl
uncongested,0.01,174,83,15.472546815872192,data/EMA/uncongested/sample_0174.pkl
uncongested,0.01,175,108,19.6758930683136,data/EMA/uncongested/sample_0175.pkl
uncongested,0.01,176,102,19.25554609298706,data/EMA/uncongested/sample_0176.pkl
uncongested,0.01,177,91,13.324371814727783,data/EMA/uncongested/sample_0177.pkl
uncongested,0.01,178,101,16.88719344139099,data/EMA/uncongested/sample_0178.pkl
uncongested,0.01,179,115,20.674112558364868,data/EMA/uncongested/sample_0179.pkl
uncongested,0.01,180,92,17.198089838027954,data/EMA/uncongested/sample_0180.pkl
uncongested,0.01,181,91,17.13771939277649,data/EMA/uncongested/sample_0181.pkl
uncongested,0.01,182,75,14.203358173370361,data/EMA/uncongested/sample_0182.pkl
uncongested,0.01,183,106,13.135952711105347,data/EMA/uncongested/sample_0183.pkl
uncongested,0.01,184,77,10.831393480300903,data/EMA/uncongested/sample_0184.pkl
uncongested,0.01,185,95,15.783609390258789,data/EMA/uncongested/sample_0185.pkl
uncongested,0.01,186,112,13.943542242050171,data/EMA/uncongested/sample_0186.pkl
uncongested,0.01,187,86,14.948939561843872,data/EMA/uncongested/sample_0187.pkl
uncongested,0.01,188,114,21.27037501335144,data/EMA/uncongested/sample_0188.pkl
uncongested,0.01,189,110,20.620659589767456,data/EMA/uncongested/sample_0189.pkl
uncongested,0.01,190,106,15.410794734954834,data/EMA/uncongested/sample_0190.pkl
uncongested,0.01,191,82,15.494242906570435,data/EMA/uncongested/sample_0191.pkl
uncongested,0.01,192,83,14.26339054107666,data/EMA/uncongested/sample_0192.pkl
uncongested,0.01,193,106,15.325299739837646,data/EMA/uncongested/sample_0193.pkl
uncongested,0.01,194,96,17.924476623535156,data/EMA/uncongested/sample_0194.pkl
uncongested,0.01,195,90,14.93743348121643,data/EMA/uncongested/sample_0195.pkl
uncongested,0.01,196,99,11.060748815536499,data/EMA/uncongested/sample_0196.pkl
uncongested,0.01,197,114,19.4296452999115,data/EMA/uncongested/sample_0197.pkl
uncongested,0.01,198,92,14.08497953414917,data/EMA/uncongested/sample_0198.pkl
uncongested,0.01,199,100,18.699239015579224,data/EMA/uncongested/sample_0199.pkl
uncongested,0.01,200,88,16.53796124458313,data/EMA/uncongested/sample_0200.pkl
uncongested,0.01,201,116,21.517527103424072,data/EMA/uncongested/sample_0201.pkl
uncongested,0.01,202,86,14.340191841125488,data/EMA/uncongested/sample_0202.pkl
uncongested,0.01,203,90,12.854503154754639,data/EMA/uncongested/sample_0203.pkl
uncongested,0.01,204,102,17.367754220962524,data/EMA/uncongested/sample_0204.pkl
uncongested,0.01,205,128,22.3003990650177,data/EMA/uncongested/sample_0205.pkl
uncongested,0.01,206,98,10.629761219024658,data/EMA/uncongested/sample_0206.pkl
uncongested,0.01,207,93,15.409013509750366,data/EMA/uncongested/sample_0207.pkl
uncongested,0.01,208,99,17.677459239959717,data/EMA/uncongested/sample_0208.pkl
uncongested,0.01,209,80,11.33639931678772,data/EMA/uncongested/sample_0209.pkl
